T,Ktot,ln,lt,lpol,kcin,kcol,sigma,cv
0.5,nan,nan,nan,nan,nan,nan,nan,0.123486592882
1.0,16191120.9987,4.04768164941e+11,2.01188294608e+13,5.16001691261e+14,47560618357.5,6237.3263952,0.999659699845,0.981786380238
1.5,1563857.01784,1.19977362836e+11,2.27235852026e+12,4.31010619605e+13,39131960592.4,4149.59978829,0.99996014236,3.30971452635
2.0,761556.149224,50573874964.2,7.71961933669e+11,8.61262593644e+12,18034073379.8,3111.41841205,0.999957943785,7.84097816892
2.5,688404.520585,25813939142.2,4.18259200227e+11,3.08716384786e+12,9766236204.03,2496.0118559,0.999929767346,15.308803548
3.0,782555.823832,14797474446.9,2.80120208265e+11,1.55569263391e+12,6498645933.49,2078.55678722,0.999879901517,26.4345314143
3.5,969063.703889,9133670117.88,2.09171200761e+11,9.47425499832e+11,4891966638.25,1758.57146028,0.999802266542,41.9236677019
4.0,1228354.41241,5933761953.73,1.65751921113e+11,6.44364153147e+11,3964974649.35,1497.97618293,0.999690576357,62.4879173103
4.5,1548971.16791,4010612138.9,1.35813380276e+11,4.69249324433e+11,3374523274.22,1284.81980056,0.999541361309,88.8804637692
5.0,1923119.35786,2802195610.68,1.13581496497e+11,3.5756963126e+11,2972301189.55,1112.56156224,0.999353360446,121.919667547
5.5,2350026.7154,2016457866.03,96513462553.3,2.81608920002e+11,2684058255.06,973.815361618,0.99912481268,162.492862686
6.0,2837581.33389,1501212319.22,83928389143.4,2.27723503281e+11,2469073025.38,860.246770107,0.998851098349,211.546586448
6.5,3401681.79697,1204862448.24,78190932337.9,1.88374024417e+11,2303483627.11,763.431099674,0.998523575574,270.07289372
7.0,4066067.74824,1161248452.6,87434709374.1,1.59026520001e+11,2172539965.14,675.671487199,0.998128737143,339.098856579
7.5,4864428.25893,1389178420.85,1.22052494713e+11,1.36804503409e+11,2066708119.3,591.169049602,0.997646576972,419.68308378
8.0,5844939.55894,1805329820.33,1.87179030394e+11,1.19817491776e+11,1979588631.21,507.425349985,0.997047652457,512.920845218
8.5,7075791.75955,2304102468.5,2.86033132436e+11,1.06776287562e+11,1906745410.03,425.752189197,0.996289296122,619.958018118
9.0,8645568.22316,2809097831.91,4.23539913543e+11,96731312401.4,1845017002.59,349.903587485,0.995314287106,742.013075948
9.5,10634991.3843,3274002467.95,6.0526463874e+11,88830629724.5,1792095571.91,283.576884011,0.994065768781,880.405448091
10.0,493697.435293,3926701.42026,173182948.846,600389278.955,2468385.88055,228.645539276,0.800065902304,1036.58780072
15.0,149282.557787,328820.068333,14189396.3277,23640108.1106,232426.666171,54.4980090464,0.357805795082,4043.55350887
20.0,48017.3358936,90057.2377663,1919940.68269,2077225.07704,67556.6050311,44.7843932123,0.289419970501,11893.4749048
25.0,21425.8665303,30988.8752077,332181.739675,357510.984679,31518.6174571,54.5278478742,0.320770473647,27734.2104314
30.0,13086.0463324,15823.2531899,104151.365261,106570.498991,18908.3769475,71.6634274158,0.309094822133,52615.9881146
35.0,9120.28178174,9572.58733211,44122.7545174,44361.0499653,13035.9602668,93.0930606903,0.302535630064,85307.1645134
40.0,6821.8956639,6456.72940947,22855.3134027,22909.9110151,9766.87556294,116.322291729,0.305161768064,123538.277257
45.0,5334.60106839,4674.74810515,13598.7035917,13697.4352148,7733.98805315,138.769211903,0.315907551173,165060.780034
50.0,4297.29235403,3543.64194932,8910.64590028,9062.76237578,6360.54008226,158.046906597,0.332648125487,208137.374793
55.0,3531.36908251,2768.18191912,6248.47812031,6431.46447219,5363.10506611,172.389713528,0.352887002885,251633.609361
60.0,2941.25402955,2207.15014111,4599.77637198,4790.52869197,4592.22984863,180.965898452,0.374263666316,294923.327423
65.0,2473.34357684,1786.6159648,3509.92627119,3691.61432204,3967.60911078,183.920183019,0.394922934328,337739.918039
70.0,2095.92747715,1464.21174709,2753.49402505,2916.41211173,3446.17306414,182.134188111,0.413673255213,380036.104008
75.0,1788.73479926,1213.39873805,2208.83928187,2349.08511617,3004.43765084,176.845542013,0.429942794008,421875.075061
80.0,1537.54145005,1016.23690009,1805.42013448,1922.94404859,2628.46591673,169.303101153,0.443616201324,463356.218871
85.0,1331.53819215,859.917659641,1499.79258388,1596.64467547,2308.55804297,160.556815472,0.454850694828,504570.471224
90.0,1162.10738586,734.988317613,1263.87216101,1342.95503664,2036.8167163,151.383752207,0.463930220323,545577.839928
95.0,1022.25491954,634.348173345,1078.80086063,1143.12911248,1806.27620401,142.302410566,0.471174057887,586399.900296
100.0,906.292286593,552.615243177,931.533999183,983.860856673,1610.68149878,133.625427173,0.476887252777,627021.381176
150.0,386.099942812,207.349395924,334.881939617,343.660275698,684.695020713,78.1873658645,0.492318729227,1006619.39999
200.0,239.626129392,119.526823197,188.804768099,191.196702264,414.589790727,55.341739342,0.487027447082,1298683.91486
250.0,175.325767912,83.7346868319,130.233297774,131.047804371,297.702080379,43.4652724254,0.481347738166,1500652.03964
300.0,139.341427029,64.8088562244,99.6856386338,99.9698521077,233.63875608,36.0868505339,0.477329382323,1637777.98486
350.0,116.186600517,53.1345241709,81.0673684161,81.1417205791,193.170302513,30.9840764296,0.474662391835,1732377.45041
400.0,99.9293181526,45.190153178,68.5265275757,68.5108610371,165.172171581,27.2090096391,0.472900537432,1799350.34684
450.0,87.8264121051,39.4117658222,59.4828650099,59.4279918457,144.565268245,24.286198628,0.471726762774,1848063.6421
500.0,78.4325528609,35.0044304965,52.6344351916,52.5636579864,128.711450852,21.9479946391,0.470937339183,1884401.39989
550.0,70.9109841809,31.5221140676,47.2559413605,47.1804502998,116.104393195,20.0306446228,0.470403306685,1912128.79296
600.0,64.7416862556,28.6950215532,42.9116670078,42.8369079626,105.819637062,18.4275526274,0.470042007489,1933714.5176
650.0,59.5834755636,26.3501172908,39.3239588066,39.2525506244,97.2573671839,17.0659619337,0.469799618834,1950818.52723
700.0,55.2024561239,24.3711060269,36.3073190404,36.2404095137,90.0103187351,15.8943184704,0.469640327148,1964584.23845
750.0,51.4326071689,22.6767862136,33.7329324631,33.6709111597,83.7918059884,14.8749673617,0.469539802817,1975817.08821
800.0,48.1526304555,21.20864437,31.5084466446,31.4513200514,78.3938909766,13.9797067984,0.469481386855,1985096.16435
850.0,45.2716272785,19.9233882281,29.5658379516,29.5133952848,73.6616692226,13.186964834,0.469453174366,1992845.63166
900.0,42.7201415739,18.7882585148,27.8538497751,27.8057871326,69.4774359373,12.4799440191,0.469446873238,1999381.46673
950.0,40.4441148633,17.7779700374,26.3330745269,26.2890634047,65.7500028413,11.8453531814,0.469456496566,2004942.68758
1000.0,38.4007932807,16.8726918377,24.9727081963,24.9324092941,62.407534503,11.2725340316,0.469477676756,2009712.63527
